Equipo1,Equipo2,Partidos,Ganados,Empatados,Perdidos,Goles
ACF Fiorentina,Cagliari Calcio,88,39,25,24,119:87
ACF Fiorentina,Como 1907,33,13,8,11,39:29
ACF Fiorentina,Empoli FC,35,16,11,7,49:31
ACF Fiorentina,Genoa CFC,112,49,41,22,183:133
ACF Fiorentina,Hellas Verona,74,36,21,17,110:78
ACF Fiorentina,Inter,184,49,55,80,234:289
ACF Fiorentina,Juventus,186,37,59,90,191:309
ACF Fiorentina,Lazio Roma,161,52,43,66,200:232
ACF Fiorentina,Parma Calcio 1913,65,21,27,17,83:72
ACF Fiorentina,SSC Napoli,166,57,45,63,205:202
ACF Fiorentina,Torino FC,157,53,53,51,196:192
ACF Fiorentina,Udinese Calcio,105,51,29,25,174:117
ACF Fiorentina,US Lecce,37,16,11,10,62:32
ACF Fiorentina,Venezia FC,39,17,7,15,57:48
AC Monza,AC Milan,9,1,0,7,8:21
AC Monza,ACF Fiorentina,7,2,2,3,10:12
AC Monza,AS Roma,7,1,2,4,5:15
AC Monza,Atalanta,11,1,0,10,7:27
AC Monza,Bologna FC,8,2,2,4,5:11
AC Monza,Cagliari Calcio,8,2,3,3,7:10
AC Monza,Como 1907,14,5,5,4,16:18
AC Monza,Empoli FC,15,4,3,8,12:21
AC Monza,Genoa CFC,16,4,3,9,15:29
AC Monza,Hellas Verona,12,5,2,5,18:15
AC Monza,Inter,9,1,2,6,8:17
AC Monza,Juventus,9,2,0,7,7:13
AC Monza,Lazio Roma,7,0,3,4,5:13
AC Monza,Parma Calcio 1913,5,0,3,2,5:8
AC Monza,SSC Napoli,12,2,4,6,9:17
AC Monza,Torino FC,17,0,5,12,16:33
AC Monza,Udinese Calcio,7,2,3,2,10:10
AC Monza,US Lecce,16,2,8,6,8:16
AC Monza,Venezia FC,12,4,1,7,16:23
Torino FC,AC Milan,177,43,61,73,178:270
Torino FC,AC Monza,17,12,5,0,33:16
Torino FC,ACF Fiorentina,157,51,53,53,192:196
Torino FC,AS Roma,171,53,45,73,222:249
Torino FC,Atalanta,129,51,44,34,193:148
Torino FC,Bologna FC,142,49,43,50,180:176
Torino FC,Cagliari Calcio,83,31,28,24,101:88
Torino FC,Como 1907,32,17,9,6,46:26
Torino FC,Empoli FC,42,12,15,15,41:44
Torino FC,Genoa CFC,121,48,38,35,188:161
Torino FC,Hellas Verona,79,33,30,16,97:78
Torino FC,Inter,170,39,52,79,166:249
Torino FC,Juventus,170,37,49,83,166:262
Torino FC,Lazio Roma,146,42,61,43,174:184
Torino FC,Parma Calcio 1913,36,7,14,15,35:52
Torino FC,SSC Napoli,150,37,59,54,162:191
Torino FC,Udinese Calcio,81,31,24,26,96:88
Torino FC,US Lecce,30,13,9,8,47:34
Torino FC,Venezia FC,38,13,14,11,47:40
Udinese Calcio,AC Milan,104,22,36,46,110:176
Udinese Calcio,AC Monza,7,2,3,2,10:10
Udinese Calcio,ACF Fiorentina,105,25,29,51,117:174
Udinese Calcio,AS Roma,108,24,26,58,116:196
Udinese Calcio,Atalanta,87,29,30,28,101:113
Udinese Calcio,Bologna FC,84,30,26,27,104:104
Udinese Calcio,Cagliari Calcio,61,29,18,14,100:69
Udinese Calcio,Como 1907,22,10,6,5,29:25
Udinese Calcio,Empoli FC,33,14,12,7,45:29
